Build Error Summary

s: talos-r3-leopard-007
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 725395 bytes during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instances of AsyncStatement with size 48 bytes each (96 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 213 instances of AtomImpl with size 20 bytes each (4260 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 24 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 3 instances of CSSImportRuleImpl with size 48 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 53 instances of CSSImportantRule with size 16 bytes each (848 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 27 instances of CSSNameSpaceRuleImpl with size 44 bytes each (1188 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 547 instances of CSSStyleRuleImpl with size 48 bytes each (26256 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 3 instances of Connection with size 100 bytes each (300 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DR_State with size 40 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of History with size 44 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of HoldJSObjects with size 4 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 3 instances of ImageObserver with size 8 bytes each (24 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of LiteralImpl with size 12 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 15 instances of Loader with size 192 bytes each (2880 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of MatchAutoCompleteFunction with size 12 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of NameSpaceManagerImpl with size 48 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of PrincipalHolder with size 16 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of RDFServiceImpl with size 276 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 13 instances of RuleHash with size 172 bytes each (2236 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of Service with size 36 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 69 instances of Statement with size 60 bytes each (4140 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of StatementParams with size 24 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instances of StringAdopt with size 1 bytes each (2 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 4 instances of URIAndPrincipalHashKey with size 12 bytes each (48 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of UploadLastDir with size 56 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of XPCContext with size 40 bytes each (560 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 55 instances of XPCNativeInterface with size 24 bytes each (1320 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 55 instances of XPCNativeMember with size 12 bytes each (660 bytes total)
